x	y	color
0.509234	0.433968	67
0.428926	0.419063	91
0.618473	0.228641	21
0.535817	0.703878	61
0.788176	0.619225	93
0.914714	0.751819	67
0.982626	0.125766	88
0.724566	0.752076	98
0.984655	0.696056	41
0.935681	0.5497	83
0.932681	0.734138	69
0.259869	0.105092	2
0.857559	0.977694	45
0.758003	0.404825	36
0.186926	0.280572	72
0.797568	0.0635621	75
0.586828	0.428939	47
0.797852	0.59682	86
0.553588	0.528912	42
0.979345	0.820248	65
0.322877	0.290694	98
0.557808	0.318805	74
0.79936	0.807195	8
0.482019	0.575725	20
0.111303	0.0537338	95
0.635177	0.348809	53
0.607083	0.49993	49
0.0566418	0.14223	80
0.806633	0.518898	1
0.620769	0.487772	100
0.932469	0.816555	23
0.336279	0.241673	27
0.781936	0.290314	5
0.56771	0.117633	1
0.920273	0.839998	54
0.437751	0.126995	42
0.773934	0.35767	53
0.430932	0.10251	46
0.067346	0.221192	38
0.377486	0.319444	49
0.718683	0.622639	74
0.599636	0.0938731	7
0.0923021	0.0502811	51
0.863046	0.395536	79
0.235981	0.395382	89
0.868121	0.341747	43
0.257293	0.177196	18
0.393812	0.590433	10
0.460431	0.169156	41
0.72804	0.505392	16
0.539251	0.527591	18
0.348247	0.590489	1
0.677949	0.376729	25
0.606337	0.477398	74
0.450829	0.251531	64
0.327027	0.0566752	69
0.482188	0.0863873	20
0.680288	0.500265	89
0.972106	0.897283	19
0.609739	0.38517	1
0.0752839	0.212079	98
0.723999	0.22996	52
0.359774	0.248763	15
0.0266537	0.037516	44
0.748353	0.493915	85
0.765408	0.31975	5
0.993531	0.972216	31
0.786685	0.075425	57
0.826215	0.826464	22
0.0914397	0.186072	85
0.810831	0.196901	73
0.870316	0.312901	34
0.373493	0.477442	41
0.0481836	0.166563	16
0.701407	0.0336045	32
0.375901	0.584441	34
0.949534	0.401264	49
0.552829	0.215614	50
0.44847	0.49426	68
0.508834	0.457409	65
0.689421	0.648454	28
0.468192	0.0786646	99
0.785091	0.48206	75
0.72271	0.0197954	45
0.774758	0.319193	8
0.366099	0.340588	85
0.902076	0.0716763	46
0.558465	0.62246	16
0.599399	0.44681	6
0.212263	0.15623	78
0.228073	0.376522	79
0.632398	0.459241	91
0.864366	0.736626	66
0.938149	0.238494	92
0.771217	0.854539	58
0.510314	0.704209	75
0.263225	0.37283	42
0.359617	0.218371	64
0.813429	0.440331	88
0.643432	0.391176	66
0.398114	0.16158	27
0.958419	0.627719	39
0.673435	0.548313	48
0.645695	0.516841	14
0.72499	0.962022	43
0.969537	0.728351	90
0.814797	0.721936	62
0.384272	0.00581926	98
0.83034	0.912456	63
0.507902	0.433461	86
0.906499	0.173364	50
0.310477	0.0286291	40
0.35378	0.406522	98
0.782147	0.543818	81
0.0980574	0.20244	98
0.667676	0.0211253	48
0.52842	0.612681	13
0.704605	0.85549	48
0.786423	0.0418319	69
0.94796	0.273822	15
0.804252	0.354224	1
0.582776	0.704687	77
0.900865	0.45517	31
0.559007	0.532428	63
0.279	0.202599	72
0.0835864	0.159123	1
0.939807	0.00272941	58
0.740987	0.905804	61
0.730876	0.171845	28
0.492357	0.714346	1
0.966634	0.220777	44
0.499475	0.0735423	75
0.632639	0.205442	48
0.441918	0.00618535	83
0.483178	0.434517	75
0.566406	0.256754	39
0.494171	0.139454	8
0.96706	0.152472	91
0.913929	0.992228	34
0.215706	0.161031	16
0.809355	0.176954	3
0.852882	0.444786	7
0.331906	0.25393	56
0.557304	0.754468	94
0.5138	0.750565	68
0.72985	0.858319	13
0.972777	0.330355	18
0.577753	0.792744	88
0.438437	0.420434	18
0.664342	0.832613	52
0.686386	0.18921	69
0.919313	0.222357	38
0.772597	0.650838	24
0.418454	0.256081	91
0.193307	0.0796841	10
0.956795	0.79815	3
0.610299	0.685118	52
0.164494	0.0261442	48
0.230267	0.0663368	85
0.606937	0.0137346	11
0.477239	0.217953	77
0.6522	0.0262016	85
0.970357	0.0980615	78
0.831382	0.106911	25
0.613618	0.75629	41
0.492376	0.299091	16
0.909338	0.0528152	30
0.267397	0.468349	40
0.867679	0.745968	25
0.253519	0.39824	26
0.34026	0.124618	48
0.832629	0.122813	69
0.800945	0.96516	34
0.938642	0.568743	76
0.801621	0.136094	77
0.641263	0.357381	66
0.997154	0.930843	31
0.345675	0.0103799	54
0.991008	0.774314	86
0.604216	0.119161	22
0.984248	0.390185	45
0.346068	0.246362	8
0.824831	0.702404	4
0.404307	0.522106	58
0.69156	0.0218816	13
0.951562	0.0456565	51
0.698453	0.00799939	46
0.248876	0.017851	92
0.279032	0.159559	1
0.911522	0.482314	6
0.648283	0.693314	61
0.187127	0.137015	89
0.81174	0.338574	13
0.940675	0.948009	41
0.928802	0.730323	23
0.954047	0.280396	91
0.696233	0.321561	60
0.915597	0.592531	56
0.928542	0.735383	7
0.973861	0.603135	66
0.926933	0.0465451	70
0.959001	0.729171	3
0.739363	0.970637	98
0.0299637	0.0372068	18
0.242764	0.230609	18
0.694369	0.712898	30
0.649774	0.348837	82
0.670719	0.255838	5
0.80047	0.656133	1
0.79401	0.927298	70
0.255884	0.0205404	9
0.0800371	0.201938	16
0.902732	0.998982	68
0.725538	0.18951	87
0.834367	0.712066	97
0.142215	0.317208	92
0.535588	0.195469	46
0.720355	0.161182	10
0.0391854	0.288228	24
0.734431	0.646717	15
0.778334	0.129683	92
0.262612	0.262227	94
0.387741	0.000264134	30
0.387959	0.161136	63
0.828504	0.598829	76
0.439057	0.15305	2
0.915786	0.0998729	21
0.796328	0.564505	85
0.57345	0.371725	77
0.829034	0.548397	13
0.895432	0.215016	9
0.82484	0.292859	54
0.790018	0.106884	80
0.922448	0.694611	34
0.85428	0.322475	57
0.586388	0.102474	7
0.920324	0.44437	81
0.672046	0.383738	25
0.652885	0.182069	40
0.516423	0.523615	4
0.637151	0.201765	98
0.547289	0.215415	84
0.215567	0.324787	30
0.599489	0.63591	26
0.687122	0.173493	65
0.363879	0.0182522	3
0.601581	0.797561	11
0.666923	0.0554848	78
0.0423443	0.221837	31
0.797689	0.134803	84
0.952596	0.17253	20
0.746564	0.199863	34
0.550318	0.734431	90
0.852538	0.348325	35
0.567315	0.177964	31
0.445368	0.107073	50
0.251096	0.461593	37
0.310837	0.469638	70
0.568428	0.392687	44
0.667142	0.365275	37
0.859433	0.104888	79
0.569887	0.220273	11
0.290694	0.0267787	29
0.991464	0.157955	38
0.919029	0.96408	1
0.407145	0.361274	25
0.598134	0.156138	82
0.993432	0.361273	24
0.362081	0.286152	73
0.56587	0.760763	18
0.815772	0.456092	89
0.249468	0.216652	5
0.578588	0.814896	29
0.778681	0.479082	90
0.346944	0.113144	58
0.631444	0.738227	83
0.77751	0.975297	100
0.107689	0.152612	36
0.827195	0.617929	69
0.86027	0.642961	63
0.0160042	0.112512	21
0.103473	0.0638381	24
0.821051	0.157387	98
0.77129	0.77327	18
0.536057	0.704817	42
0.523019	0.392722	38
0.337423	0.317117	59
0.363844	0.56157	15
0.344287	0.0450771	87
0.178996	0.421126	75
0.81715	0.658149	29
0.952312	0.832672	30
0.946491	0.158709	58
0.607835	0.282799	22
0.370425	0.293677	73
0.819644	0.190541	68
0.93526	0.651538	46
0.814627	0.223641	16
0.912479	0.247815	12
0.172947	0.174288	8
0.555313	0.380861	57
0.542796	0.217612	43
0.8087	0.0720436	94
0.397094	0.240205	88
0.782234	0.0465052	32
0.79267	0.10239	29
0.739437	0.0390873	24
0.937526	0.134715	15
0.494666	0.182603	3
0.560173	0.0460126	12
0.459913	0.436146	83
0.471676	0.147769	51
0.509478	0.288251	47
0.960916	0.360597	27
0.287437	0.0795467	86
0.842279	0.346788	82
0.0349909	0.213151	78
0.371646	0.260999	57
0.597118	0.434784	13
0.737906	0.105896	92
0.873742	0.553258	57
0.904714	0.110001	22
0.832543	0.652758	86
0.614048	0.37988	33
0.688189	0.792557	24
0.857739	0.264605	75
0.87987	0.208318	48
0.937269	0.968709	55
0.981068	0.187735	61
0.873096	0.0105822	36
0.167029	0.114905	42
0.23582	0.210881	69
0.751343	0.951407	90
0.736278	0.804286	25
0.77478	0.732609	76
0.807409	0.940965	17
0.627717	0.281888	24
0.63203	0.0305767	37
0.986705	0.526623	17
0.922613	0.113159	10
0.741608	0.392805	45
0.847704	0.649053	67
0.738495	0.973056	91
0.747655	0.445377	36
0.596417	0.656873	94
0.081086	0.0407183	65
0.0261633	0.0370946	39
0.791605	0.273465	20
0.646755	0.496676	96
0.224379	0.471627	81
0.372239	0.0821566	77
0.833078	0.376172	10
0.371329	0.0944587	32
0.457496	0.197695	55
0.211424	0.148013	7
0.907809	0.715985	34
0.193652	0.330446	37
0.829965	0.793153	67
0.989465	0.270595	28
0.508721	0.226041	53
0.431962	0.337364	62
0.939697	0.59076	79
0.626297	0.2814	89
0.241769	0.0113487	66
0.711783	0.560776	71
0.619713	0.512196	61
0.275706	0.391129	26
0.7728	0.0436799	41
0.809512	0.858627	29
0.78984	0.108354	83
0.856762	0.441389	40
0.936587	0.55663	54
0.730059	0.763879	51
0.949648	0.415645	69
0.457031	0.439798	27
0.961155	0.892597	12
0.872162	0.281196	27
0.599797	0.20888	18
0.494273	0.296943	43
0.243909	0.310566	95
0.237932	0.0414966	35
0.528657	0.218179	96
0.768668	0.111339	81
0.68325	0.16634	91
0.81871	0.298274	84
0.785368	0.0141245	30
0.956129	0.403462	62
0.473532	0.301446	64
0.946649	0.823941	99
0.165302	0.0705216	33
0.918192	0.283674	21
0.388037	0.109201	17
0.923567	0.226932	94
0.640169	0.855279	18
0.993441	0.975286	8
0.852517	0.0822194	2
0.429559	0.291374	49
0.811191	0.417111	58
0.917358	0.675887	91
0.896204	0.0322544	69
0.902144	0.744501	75
0.657652	0.311651	33
0.193972	0.395291	5
0.610956	0.27166	17
0.105856	0.0363871	82
0.962204	0.27102	84
0.83285	0.392075	16
0.663484	0.190181	13
0.574004	0.719522	16
0.761071	0.431272	7
0.281565	0.0313824	87
0.697333	0.750177	77
0.843778	0.188193	96
0.654892	0.208597	36
0.944505	0.687642	90
0.999385	0.512697	75
0.742237	0.101176	7
0.850357	0.0967753	34
0.566655	0.787944	29
0.129326	0.282516	5
0.426424	0.293809	84
0.96008	0.88469	60
0.348494	0.081384	62
0.258684	0.202657	99
0.377477	0.384976	97
0.719314	0.613057	46
0.845407	0.374961	99
0.793682	0.126348	67
0.90597	0.183614	56
0.519334	0.122935	66
0.664966	0.0325987	59
0.473954	0.318649	63
0.618771	0.262098	61
0.447635	0.618094	65
0.643255	0.165695	18
0.683925	0.339555	83
0.568893	0.199522	83
0.795546	0.756449	42
0.723047	0.162937	99
0.740703	0.048806	9
0.778715	0.90946	68
0.899187	0.740978	63
0.96166	0.264471	94
0.2406	0.259708	89
0.824236	0.123597	20
0.684957	0.37292	71
0.86315	0.115472	82
0.861352	0.205991	76
0.87808	0.215578	26
0.92665	0.175798	51
0.389002	0.463126	84
0.22277	0.127186	29
0.568703	0.745056	93
0.0826845	0.0976611	74
0.737904	0.336342	86
0.663156	0.346727	35
0.497703	0.516998	83
0.221866	0.32317	32
0.301595	0.231546	86
0.999616	0.972072	8
0.213749	0.168693	58
0.711509	0.355781	71
0.544218	0.50883	58
0.939577	0.825862	91
0.900393	0.207166	39
0.855509	0.498165	79
0.680437	0.897024	45
0.357807	0.143611	57
0.287396	0.439282	29
0.268559	0.512308	12
0.70545	0.105127	79
0.931874	0.724891	37
0.634221	0.454365	95
0.682326	0.0203624	38
0.174562	0.0247571	95
0.782025	0.667037	56
0.264591	0.0925903	28
0.222401	0.304575	56
0.505397	0.221341	33
0.0917549	0.0841045	60
0.758319	0.237663	55
0.958812	0.32197	74
0.351754	0.53445	11
0.563776	0.0190945	59
0.570655	0.3762	32
0.514013	0.737456	3
0.898407	0.494598	60
0.759444	0.881117	91
0.25995	0.179495	63
0.667674	0.0736174	42
0.888265	0.654082	18
0.648018	0.162339	7
0.962151	0.978999	72
0.383333	0.18403	65
0.960799	0.740361	17
0.829236	0.39841	38
0.396446	0.100004	24
0.952321	0.179921	48
0.84712	0.15319	24
0.722144	0.454752	30
0.744076	0.453504	12
0.853197	0.995873	70
0.393535	0.110189	56
0.608635	0.104792	87
0.924993	0.541703	2
0.650379	0.496637	54
0.603112	0.180171	6
0.448974	0.240305	85
0.946585	0.368663	24
0.352741	0.439812	22
0.381902	0.205966	46
0.785983	0.910893	62
0.826551	0.693624	92
0.816207	0.960521	60
0.678889	0.793736	61
0.133891	0.156698	62
0.754907	0.230368	27
0.643165	0.321221	63
0.376841	0.499657	38
0.125178	0.196603	18
0.173444	0.262493	14
0.923233	0.888301	69
0.962328	0.577869	96
0.81528	0.0440817	37
0.914985	0.486805	11
0.865938	0.290866	100
0.225414	0.0177467	82
0.739591	0.618919	7
0.861494	0.889552	90
0.693188	0.207635	6
0.835122	0.852807	9
0.222686	0.0855144	34
0.935203	0.0523021	13
0.788191	0.951693	68
0.906977	0.363604	95
0.845823	0.732928	9
0.583962	0.37379	86
0.455411	0.40128	90
0.818965	0.912675	86
0.611269	0.174903	18
0.617576	0.804767	45
0.524888	0.466792	81
0.905583	0.0620931	69
0.163729	0.0685418	20
0.649551	0.800314	8
0.820024	0.855141	66
0.179514	0.081966	18
0.710982	0.408443	84
0.767072	0.572982	15
0.965244	0.891276	35
0.0846586	0.25632	33
0.483548	0.16793	67
0.715266	0.881625	78
0.64037	0.874609	85
0.170937	0.413984	99
0.400694	0.0452121	91
0.704618	0.805885	81
0.673106	0.29037	41
0.438012	0.340081	88
0.594512	0.639217	82
0.480003	0.614406	85
0.908786	0.0436745	93
0.892215	0.61376	26
0.366675	0.280292	7
0.377778	0.280736	97
0.837226	0.401679	36
0.680725	0.70307	81
0.865648	0.496114	40
0.662174	0.578492	55
0.423843	0.554185	75
0.630667	0.866308	39
0.59368	0.585178	50
0.400049	0.338763	7
0.706435	0.788192	99
0.961377	0.789798	89
0.29142	0.436677	73
0.316214	0.113441	85
0.774873	0.824403	51
0.129743	0.0366524	28
0.936535	0.479418	7
0.737401	0.710589	32
0.393886	0.326033	14
0.540004	0.447457	12
0.569274	0.123458	95
0.168115	0.280767	8
0.241206	0.0172534	41
0.321557	0.269902	55
0.946745	0.881959	85
0.117022	0.212601	99
0.904594	0.0093428	25
0.905344	0.0414305	70
0.958002	0.397688	60
0.990122	0.868525	76
0.815342	0.911442	26
0.659883	0.170534	78
0.806145	0.474349	35
0.865069	0.132844	15
0.783538	0.802843	15
0.927993	0.360152	81
0.744005	0.0861206	55
0.967869	0.295012	66
0.43883	0.2293	75
0.877522	0.224854	59
0.247462	0.471357	81
0.607071	0.36968	23
0.700106	0.0579042	46
0.77817	0.46076	60
0.168222	0.37751	89
0.421868	0.00796094	24
0.322985	0.41061	39
0.480214	0.265722	8
0.371522	0.621513	80
0.503398	0.669799	33
0.283078	0.457827	95
0.723581	0.903709	63
0.997733	0.935983	50
0.134721	0.0568803	16
0.870935	0.509624	49
0.729076	0.730325	19
0.162421	0.00462378	28
0.882897	0.311227	1
0.792255	0.00922476	90
0.706517	0.786343	79
0.702386	0.785272	55
0.994499	0.73786	93
0.647198	0.640903	84
0.979702	0.201698	71
0.0807612	0.295237	9
0.528369	0.459289	31
0.606062	0.554627	6
0.0859205	0.207208	28
0.756139	0.0106449	81
0.743491	0.952683	66
0.910326	0.686633	68
0.827946	0.970452	82
0.67788	0.142023	9
0.306587	0.481496	47
0.479177	0.492002	61
0.581365	0.156754	12
0.539697	0.606838	22
0.618383	0.247224	5
0.912714	0.126689	12
0.392989	0.139751	77
0.537457	0.440769	63
0.456912	0.569156	38
0.228896	0.0112117	8
0.802654	0.221453	9
0.539542	0.327501	84
0.905345	0.887485	54
0.719129	0.461071	73
0.715947	0.277261	95
0.196907	0.161245	40
0.100551	0.0664792	18
0.0565071	0.171246	74
0.901687	0.715908	83
0.438822	0.645329	46
0.774541	0.163295	86
0.488971	0.0814437	1
0.692422	0.535561	39
0.534923	0.775609	63
0.774436	0.0325859	28
0.98801	0.534082	19
0.919842	0.11659	18
0.87614	0.373919	81
0.196773	0.282194	10
0.613961	0.639838	62
0.441009	0.439237	78
0.392924	0.076055	57
0.929233	0.304861	94
0.0669398	0.263619	32
0.797045	0.358184	40
0.183089	0.144725	45
0.305586	0.197952	39
0.868489	0.335601	51
0.74892	0.90578	60
0.777553	0.326477	71
0.799639	0.990562	15
0.569422	0.622815	56
0.330198	0.253925	72
0.88439	0.421509	18
0.82112	0.83023	90
0.440487	0.623934	40
0.178926	0.141943	87
0.410899	0.292777	61
0.0101189	0.131123	90
0.977815	0.395826	80
0.962488	0.345867	4
0.763104	0.596015	15
0.743947	0.167081	21
0.433774	0.43208	11
0.634374	0.701123	14
0.660279	0.0443769	55
0.633823	0.324639	61
0.0657418	0.231255	19
0.453847	0.681872	67
0.65136	0.529806	57
0.566457	0.504772	76
0.860848	0.964443	24
0.527231	0.165108	33
0.572	0.594943	7
0.60787	0.0639753	71
0.798071	0.945875	78
0.329919	0.359852	13
0.735586	0.665746	55
0.651469	0.858005	40
0.390219	0.286204	16
0.54436	0.178322	32
0.981528	0.688064	85
0.822963	0.228551	8
0.713817	0.818283	21
0.877374	0.378253	69
0.700728	0.145364	84
0.722946	0.213664	99
0.502062	0.595152	8
0.523519	0.262446	76
0.842193	0.0519078	13
0.438423	0.522805	34
0.658125	0.63397	59
0.443449	0.117161	59
0.884583	0.240208	92
0.995113	0.88752	6
0.303019	0.524213	93
0.944692	0.152843	97
0.681278	0.290993	33
0.676775	0.184703	17
0.844465	0.314828	12
0.965485	0.968194	5
0.811742	0.859217	71
0.661191	0.765237	41
0.989161	0.990369	86
0.322212	0.275523	86
0.751943	0.141399	45
0.917277	0.43187	70
0.580777	0.271318	38
0.653486	0.193259	62
0.779929	0.713988	74
0.667353	0.811829	72
0.0466728	0.0192506	57
0.904666	0.037006	80
0.678056	0.716531	93
0.545818	0.0720223	1
0.619198	0.676653	10
0.495547	0.383515	34
0.450599	0.206713	99
0.784812	0.136954	91
0.853982	0.549297	27
0.773091	0.768598	23
0.69396	0.569411	63
0.566162	0.582629	69
0.728145	0.475782	71
0.671307	0.0512753	53
0.679759	0.026314	22
0.201474	0.360554	54
0.889294	0.324204	23
0.327092	0.0482983	52
0.600839	0.226041	90
0.254339	0.286308	32
0.959752	0.743069	13
0.301065	0.339848	36
0.390999	0.0736129	3
0.346188	0.0851765	17
0.925032	0.146524	3
0.664076	0.403543	35
0.773172	0.0435231	52
0.464013	0.0855791	37
0.537898	0.622798	49
0.825796	0.0656109	39
0.45892	0.401308	16
0.916968	0.237856	42
0.843368	0.142869	71
0.345463	0.145491	72
0.367095	0.529546	49
0.688892	0.475236	39
0.643606	0.27364	37
0.838517	0.667014	86
0.623888	0.544799	14
0.95288	0.80368	97
0.446176	0.0401291	76
0.98101	0.224767	23
0.241249	0.315551	100
0.280982	0.100742	57
0.904454	0.794259	11
0.0615613	0.0807908	5
0.968207	0.304998	92
0.178235	0.13272	88
0.430707	0.492169	2
0.601997	0.478977	96
0.517759	0.723373	73
0.585102	0.589419	84
0.685818	0.520797	69
0.191016	0.0254636	13
0.964033	0.17194	58
0.759716	0.439019	12
0.963194	0.106232	57
0.494357	0.227191	48
0.943336	0.363503	79
0.417778	0.0399461	64
0.513268	0.0935076	57
0.398938	0.488837	16
0.547828	0.0821486	20
0.50649	0.476659	96
0.244601	0.346034	73
0.50221	0.627326	33
0.127408	0.0965841	15
0.419709	0.421165	65
0.635627	0.0736514	34
0.586266	0.311296	14
0.41142	0.139678	73
0.670753	0.591501	48
0.689464	0.866547	8
0.949242	0.423753	42
0.500839	0.383804	67
0.232231	0.145319	78
0.696617	0.196064	12
0.728599	0.555981	61
0.485712	0.387713	1
0.749057	0.89022	43
0.917272	0.764009	41
0.997837	0.390146	37
0.82871	0.796786	66
0.803013	0.568686	88
0.0197795	0.207257	67
0.550734	0.642657	18
0.478893	0.620315	53
0.0641159	0.147692	4
0.998622	0.288288	38
0.568897	0.688955	21
0.846244	0.566158	42
0.719943	0.444628	70
0.819476	0.924923	25
0.519041	0.324431	38
0.666862	0.843889	31
0.608141	0.155327	16
0.193915	0.039443	24
0.837513	0.407418	81
0.825262	0.208363	100
0.34151	0.452259	81
0.176501	0.325744	68
0.15164	0.165618	55
0.450924	0.595982	58
0.691136	0.419141	5
0.590945	0.333821	61
0.843683	0.381546	29
0.617853	0.330116	80
0.320454	0.0244986	91
0.888259	0.0464927	60
0.9223	0.162162	28
0.742717	0.793627	18
0.773188	0.158746	16
0.853689	0.0041159	63
0.895485	0.307532	30
